評價者,19,18,14,1,5,10,21,3,7,6,20,13
25,2,2,2,2,1,1,2,3,3,2,2,2
26,0,0,0,0,0,0,0,0,0,0,0,0
27,2,0,0,1,1,1,1,1,1,1,1,1
28,0,0,0,0,0,0,0,0,0,0,0,0
29,1,1,1,0,0,1,1,0,1,1,1,1
30,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0,0,1,1,1,1,0,1,1,1,1
32,1,0,0,0,1,1,1,0,0,0,0,0
33,0,0,0,0,1,1,0,0,0,0,0,0
34,2,1,1,0,1,1,1,0,1,1,0,1
35,3,1,2,3,1,2,2,0,2,2,2,2
36,0,0,0,0,0,1,0,0,0,0,0,0
37,1,0,0,0,0,0,1,0,0,1,0,1
38,1,1,1,2,1,1,2,0,1,2,1,2
39,1,0,0,0,1,1,1,0,0,1,1,1
40,1,0,0,0,0,0,0,0,0,1,0,0
41,1,0,0,0,1,1,1,0,0,0,0,0
42,0,0,0,0,1,0,0,0,0,0,0,0
43,1,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,1,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0
46,1,1,1,0,1,1,0,0,1,1,0,1
銳評,,,,,,,,,,,,
密碼,,
